Timestamp,Millis,thumb_tm_aa,thumb_tm_flex,thumb_mcp_aa,thumb_mcp_flex,index_mcp_aa,index_mcp_flex,index_pip,middle_mcp_aa,middle_mcp_flex,middle_pip,ring_mcp_aa,ring_mcp_flex,ring_pip,little_mcp_aa,little_mcp_flex,little_pip
Mon Dec 02 20:47:46 2024,950,-13.575,-13.575,-3.732,-3.732,13.925,60.560,65.890,20.271,42.941,36.376,1.811,26.824,23.717,17.195,2.181,5.985
Mon Dec 02 20:47:46 2024,955,-13.405,-13.405,-3.726,-3.726,14.126,59.828,64.102,19.726,41.842,34.140,1.675,25.931,22.673,16.935,2.449,6.113
Mon Dec 02 20:47:46 2024,960,-13.265,-13.265,-3.721,-3.721,14.290,59.238,62.650,19.287,40.981,32.349,1.566,25.201,21.843,16.720,2.670,6.222
Mon Dec 02 20:47:46 2024,965,-13.120,-13.120,-3.851,-3.851,14.057,58.130,60.838,18.711,39.879,30.198,1.587,24.789,20.793,16.194,2.996,6.107
Mon Dec 02 20:47:46 2024,970,-12.998,-12.998,-3.933,-3.933,13.947,57.307,59.410,18.256,39.067,28.547,1.576,24.378,19.987,15.813,3.233,6.059
Mon Dec 02 20:47:46 2024,975,-12.940,-12.940,-3.978,-3.978,13.924,56.158,57.482,17.579,1.913,26.690,1.459,23.575,19.042,15.355,3.441,5.897
Mon Dec 02 20:47:46 2024,980,-12.889,-12.889,-4.017,-4.017,13.904,55.183,55.857,17.001,2.702,25.157,1.358,22.898,18.252,14.960,3.593,5.759
Mon Dec 02 20:47:46 2024,985,-12.807,-12.807,-4.029,-4.029,13.870,54.278,54.398,16.541,3.265,23.780,1.322,22.245,17.423,14.606,3.739,5.670
Mon Dec 02 20:47:46 2024,990,-12.717,-12.717,-4.028,-4.028,13.833,53.495,53.154,16.182,3.676,22.614,1.320,21.731,16.657,14.305,3.865,5.612
Mon Dec 02 20:47:46 2024,995,-12.634,-12.634,-4.027,-4.027,13.801,52.777,52.017,15.853,4.048,21.565,1.320,21.404,15.959,14.025,3.973,5.560
Mon Dec 02 20:47:47 2024,0,-12.556,-12.556,-3.993,-3.993,13.822,51.861,50.675,15.517,4.385,20.947,1.466,18.529,15.442,13.960,4.028,5.650
Mon Dec 02 20:47:47 2024,5,-12.487,-12.487,-3.969,-3.969,13.834,51.107,49.550,15.227,4.684,20.340,1.569,18.303,14.965,13.864,4.084,5.703
Mon Dec 02 20:47:47 2024,10,-12.389,-12.389,-4.027,-4.027,13.837,50.391,48.414,14.927,5.003,19.808,1.741,18.020,14.639,13.897,4.078,5.816
Mon Dec 02 20:47:47 2024,15,-12.298,-12.298,-4.087,-4.087,13.841,49.749,47.390,14.654,5.292,19.334,1.903,17.752,14.355,13.935,4.069,5.923
Mon Dec 02 20:47:47 2024,20,-12.212,-12.212,-4.144,-4.144,13.846,49.150,46.438,14.398,5.561,18.892,2.056,17.492,14.090,13.970,4.061,6.025
Mon Dec 02 20:47:47 2024,25,-12.100,-12.100,-4.278,-4.278,13.952,48.834,45.866,14.280,5.682,18.740,2.087,17.264,13.870,14.012,3.928,6.001
Mon Dec 02 20:47:47 2024,30,-11.929,-11.929,-4.504,-4.504,14.146,48.511,45.218,14.172,5.789,18.652,2.078,16.928,13.576,14.074,3.678,5.910
Mon Dec 02 20:47:47 2024,35,-11.693,-11.693,-4.681,-4.681,14.230,48.128,44.632,14.141,5.816,18.628,2.078,16.877,13.465,14.143,3.502,5.955
Mon Dec 02 20:47:47 2024,40,-11.528,-11.528,-4.806,-4.806,14.291,47.864,44.223,14.119,5.835,18.611,2.078,16.840,13.387,14.192,3.376,5.986
Mon Dec 02 20:47:47 2024,45,-11.457,-11.457,-4.820,-4.820,14.164,47.612,43.724,13.996,5.945,18.638,2.142,16.971,13.422,14.378,2.964,6.099
Mon Dec 02 20:47:47 2024,50,-11.408,-11.408,-4.814,-4.814,14.016,47.385,43.257,13.864,6.061,18.671,2.209,17.103,13.472,14.577,2.527,6.212
Mon Dec 02 20:47:47 2024,55,-11.369,-11.369,-4.810,-4.810,13.896,47.199,42.877,13.757,6.154,18.698,2.263,17.197,13.512,14.741,2.163,6.301
Mon Dec 02 20:47:47 2024,60,-11.348,-11.348,-4.808,-4.808,13.833,47.102,42.677,13.700,6.203,18.712,2.290,17.241,13.533,14.829,1.969,6.347
Mon Dec 02 20:47:47 2024,65,-11.170,-11.170,-4.537,-4.537,13.830,46.685,41.641,13.627,6.236,18.671,2.264,17.660,13.807,15.455,0.675,6.064
Mon Dec 02 20:47:47 2024,70,-11.149,-11.149,-4.386,-4.386,13.859,46.528,41.263,13.433,6.382,18.856,2.404,17.569,14.001,15.897,-0.354,5.804
Mon Dec 02 20:47:47 2024,75,-11.138,-11.138,-4.268,-4.268,13.887,46.411,40.974,13.274,6.496,19.009,2.511,22.757,14.151,16.259,-1.197,5.577
Mon Dec 02 20:47:47 2024,80,-11.131,-11.131,-4.163,-4.163,13.913,46.306,40.714,13.131,6.595,19.149,2.603,23.183,14.281,16.593,-1.974,5.361
Mon Dec 02 20:47:47 2024,85,-11.070,-11.070,-4.068,-4.068,13.803,46.206,40.051,12.923,6.758,18.888,2.385,23.238,14.061,16.844,-2.383,4.983
